flight,energy_j,duration_s
1,78371.911571,200.700000
2,91320.221636,271.200000
3,61540.457241,180.100000
4,52884.138204,171.000000
5,68472.115773,217.000000
6,72396.683595,204.490000
7,77448.230771,179.610000
8,78961.284084,233.500000
10,59503.198781,138.090000
12,46841.785395,116.210000
14,51118.128659,106.110000
15,51260.848676,113.200000
16,54833.600472,125.800000
17,63136.702976,139.090000
18,83866.377754,170.200000
20,67852.103481,140.090000
23,60927.284481,127.000000
59,63380.577217,141.100000
60,69199.746729,150.410000
68,81871.264141,171.490000
76,93229.534116,243.300000
77,48206.987416,136.300000
78,68691.599248,188.500000
79,54042.698288,156.210000
80,59354.064964,176.900000
81,74935.083609,179.000000
82,67828.380312,181.900000
83,66057.022685,178.300000
84,85871.271586,227.300000
85,75679.791285,226.500000
86,71641.480422,182.690000
87,104495.554941,250.100000
88,82650.291910,205.300000
91,78845.466950,177.390000
92,78532.812836,175.810000
93,81440.973001,181.810000
94,100686.024864,219.200000
95,68642.789799,159.700000
96,91993.467416,201.000000
97,112919.330582,236.390000
98,53586.256217,130.500000
99,84756.535928,190.700000
100,66225.969242,156.010000
101,71975.449136,164.500000
102,122464.583401,252.500000
105,104248.127617,221.100000
106,91010.268251,194.800000
107,90270.623944,194.900000
108,56624.089006,161.900000
109,111533.867103,253.900000
110,91846.956150,245.800000
111,50853.397262,135.800000
112,93547.159197,201.500000
113,78672.430595,201.200000
114,67991.278222,176.920000
115,62624.423514,148.800000
116,50553.100945,134.900000
117,57357.842551,161.000000
118,109956.456416,256.200000
119,61299.864894,199.500000
120,49535.971632,138.400000
121,65769.516256,183.100000
122,76798.413916,174.400000
123,94879.198362,215.100000
124,51802.353038,149.800000
125,99383.906440,231.610000
126,130412.340992,262.510000
127,69775.190746,163.600000
128,78293.470995,205.300000
129,89207.960222,188.300000
130,69961.117697,155.600000
131,99051.150450,250.210000
134,65434.303480,160.690000
135,84979.938800,196.300000
136,56365.707053,177.200000
137,88252.329908,197.400000
138,96431.891914,200.900000
139,59347.954581,156.700000
140,91824.205720,199.200000
141,71338.448391,237.600000
142,76664.132302,177.500000
143,63388.494175,167.900000
144,71896.872143,173.500000
145,102832.096802,220.400000
146,47206.558336,182.500000
147,86330.838587,244.200000
148,82305.729942,304.200000
149,73728.899818,173.810000
150,70261.611910,182.100000
151,62738.922996,149.710000
152,92699.911009,193.390000
153,81163.445185,188.290000
154,76974.472619,176.700000
155,90793.385705,188.200000
156,104378.620526,217.100000
157,61657.951287,150.910000
158,72679.306456,168.900000
159,65413.991468,160.200000
160,93073.743559,218.000000
162,84355.037408,181.300000
163,73560.709936,204.110000
164,72706.225335,193.100000
165,67188.560932,206.000000
166,80191.938910,191.990000
167,57573.700399,142.510000
168,74497.779568,180.800000
169,70629.208122,183.300000
170,59583.702757,164.500000
171,47221.207395,132.090000
172,84973.944982,221.000000
173,96923.062692,236.600000
174,71950.328135,171.800000
175,75005.854667,195.200000
176,79019.049393,203.400000
177,48817.878645,139.000000
178,57260.948030,138.100000
179,102205.163918,211.900000
180,79238.353356,172.000000
181,74921.990769,175.600000
182,73733.037191,180.800000
183,54600.871829,135.900000
184,123133.214839,249.900000
185,63721.286365,190.300000
186,66789.539290,168.900000
187,49923.126951,137.800000
188,98876.646556,306.300000
189,54467.867387,147.900000
190,82805.113356,196.610000
191,83310.129298,193.000000
192,55066.827800,158.890000
193,100291.120883,217.800000
194,69645.047950,204.710000
195,83835.644023,208.790000
196,60839.490217,266.110000
197,51165.556525,137.300000
198,56808.934364,152.900000
199,89265.059852,232.000000
200,86644.714770,196.890000
201,101478.437090,234.500000
202,81661.933794,214.320000
203,51612.822154,142.700000
204,66116.349214,166.500000
205,69947.803779,161.800000
206,74998.625849,185.700000
207,59614.318246,165.200000
208,82766.804524,198.090000
209,82805.346044,175.300000
210,112181.400957,251.490000
211,574.647225,131.900000
212,401.989957,120.300000
213,225.204658,58.610000
214,1289.761769,136.210000
215,547.816233,58.590000
216,532.281120,58.690000
217,4569.069515,140.100000
218,4536.549906,142.800000
219,4463.036545,126.410000
221,55757.660386,121.200000
222,67270.532548,142.400000
223,58709.980307,128.400000
224,63516.701497,176.610000
225,76296.476350,174.390000
226,82777.094046,187.000000
227,87544.779209,216.210000
228,88661.524313,190.710000
229,55325.506872,157.900000
230,70269.274162,164.600000
231,97031.110419,198.400000
232,87970.367543,200.100000
233,83283.583804,216.710000
234,72054.907482,189.300000
235,54267.759560,141.400000
236,64389.221975,155.400000
237,102083.844503,284.610000
238,104405.057254,216.310000
239,112854.196031,250.800000
240,92518.824751,200.800000
241,67155.661390,172.700000
242,94000.425704,264.610000
243,90085.994544,242.700000
246,79096.090333,204.400000
247,70668.378606,187.600000
248,100339.058658,238.690000
249,59366.401480,165.400000
250,78446.718129,165.200000
251,66546.847502,176.500000
252,76663.696999,193.010000
253,57336.699950,153.100000
254,68621.639045,165.390000
255,71227.865484,165.210000
256,72518.380147,172.400000
257,86230.236223,210.000000
258,93391.073000,219.300000
260,93738.165017,244.710000
261,76394.202789,192.900000
262,67150.791404,172.510000
263,91619.073704,238.400000
264,89787.085822,227.100000
267,60176.954034,152.610000
268,103433.922169,232.510000
269,72118.808811,201.510000
270,86739.072083,221.400000
271,66286.747763,184.700000
272,136827.758459,428.290000
275,58682.391353,149.400000
276,55411.517911,147.900000
277,55913.396295,134.810000
278,68121.390667,186.390000
279,55687.463181,152.700000
