step,phase,cpu_freq_mhz,ops,P_measured_W,P_model_A_W,P_model_C_W,E_measured_J,E_model_A_J,E_model_C_J,I_measured_A,I_model_A_A,I_model_C_A,bat_meas_pct,bat_A_pct,bat_C_pct
0,idle,1494.8000794687975,0,3.5914,0.0,3.503,3.5914,0.0,3.503,2.76262,0.0,2.69462,100.0,100.0,100.0
1,idle,1504.7028235819562,0,3.7251,0.0,3.503,3.7251,0.0,3.503,2.86546,0.0,2.69462,99.999,100.0,99.999
2,idle,1493.4891024656883,0,3.15,0.0,3.503,3.15,0.0,3.503,2.42308,0.0,2.69462,99.999,100.0,99.999
3,idle,1498.418787038282,0,3.5384,0.0,3.503,3.5384,0.0,3.503,2.72185,0.0,2.69462,99.998,100.0,99.998
4,idle,1495.7347803621321,0,3.495,0.0,3.503,3.495,0.0,3.503,2.68846,0.0,2.69462,99.998,100.0,99.998
5,idle,1503.8889596771448,0,3.7638,0.0,3.503,3.7638,0.0,3.503,2.89523,0.0,2.69462,99.997,100.0,99.997
6,idle,1505.6362060348401,0,3.5198,0.0,3.503,3.5198,0.0,3.503,2.70754,0.0,2.69462,99.997,100.0,99.997
7,idle,1495.7035376855838,0,3.6403,0.0,3.503,3.6403,0.0,3.503,2.80023,0.0,2.69462,99.996,100.0,99.996
8,idle,1495.205586995855,0,3.6106,0.0,3.503,3.6106,0.0,3.503,2.77738,0.0,2.69462,99.996,100.0,99.996
9,idle,1499.7503704450687,0,3.7635,0.0,3.503,3.7635,0.0,3.503,2.895,0.0,2.69462,99.995,100.0,99.995
10,idle,1496.5953522779803,0,3.4445,0.0,3.503,3.4445,0.0,3.503,2.64962,0.0,2.69462,99.995,100.0,99.995
11,idle,1499.227352589656,0,3.8668,0.0,3.503,3.8668,0.0,3.503,2.97446,0.0,2.69462,99.994,100.0,99.994
12,idle,1498.2393322475589,0,3.3715,0.0,3.503,3.3715,0.0,3.503,2.59346,0.0,2.69462,99.994,100.0,99.994
13,idle,1501.8272203218205,0,3.6597,0.0,3.503,3.6597,0.0,3.503,2.81515,0.0,2.69462,99.993,100.0,99.993
14,idle,1502.1541050150395,0,3.6238,0.0,3.503,3.6238,0.0,3.503,2.78754,0.0,2.69462,99.993,100.0,99.993
15,idle,1497.967924918077,0,4.1425,0.0,3.503,4.1425,0.0,3.503,3.18654,0.0,2.69462,99.992,100.0,99.992
16,idle,1495.9311363587606,0,3.3463,0.0,3.503,3.3463,0.0,3.503,2.57408,0.0,2.69462,99.991,100.0,99.992
17,idle,1505.6448614636045,0,3.6848,0.0,3.503,3.6848,0.0,3.503,2.83446,0.0,2.69462,99.991,100.0,99.991
18,idle,1495.7992176151874,0,3.4658,0.0,3.503,3.4658,0.0,3.503,2.666,0.0,2.69462,99.99,100.0,99.991
19,idle,1503.2529639391234,0,3.2527,0.0,3.503,3.2527,0.0,3.503,2.50208,0.0,2.69462,99.99,100.0,99.99
20,idle,1502.715771341526,0,3.723,0.0,3.503,3.723,0.0,3.503,2.86385,0.0,2.69462,99.99,100.0,99.99
21,idle,1501.1608066153335,0,3.3003,0.0,3.503,3.3003,0.0,3.503,2.53869,0.0,2.69462,99.989,100.0,99.989
22,idle,1501.093442983645,0,3.535,0.0,3.503,3.535,0.0,3.503,2.71923,0.0,2.69462,99.989,100.0,99.989
23,idle,1501.1179777438733,0,3.7614,0.0,3.503,3.7614,0.0,3.503,2.89338,0.0,2.69462,99.988,100.0,99.988
24,idle,1500.3378953474444,0,3.7037,0.0,3.503,3.7037,0.0,3.503,2.849,0.0,2.69462,99.988,100.0,99.988
25,idle,1503.1564411291927,0,3.5867,0.0,3.503,3.5867,0.0,3.503,2.759,0.0,2.69462,99.987,100.0,99.987
26,idle,1498.4016439182135,0,3.15,0.0,3.503,3.15,0.0,3.503,2.42308,0.0,2.69462,99.987,100.0,99.987
27,idle,1496.8056107587834,0,3.3589,0.0,3.503,3.3589,0.0,3.503,2.58377,0.0,2.69462,99.986,100.0,99.986
28,idle,1507.474706556172,0,3.4175,0.0,3.503,3.4175,0.0,3.503,2.62885,0.0,2.69462,99.986,100.0,99.986
29,idle,1504.8413917729574,0,3.2403,0.0,3.503,3.2403,0.0,3.503,2.49254,0.0,2.69462,99.985,100.0,99.985
30,idle,1498.3255748500712,0,3.15,0.0,3.503,3.15,0.0,3.503,2.42308,0.0,2.69462,99.985,100.0,99.985
31,idle,1502.9311116567965,0,3.5488,0.0,3.503,3.5488,0.0,3.503,2.72985,0.0,2.69462,99.984,100.0,99.984
32,idle,1503.9667361759996,0,3.7134,0.0,3.503,3.7134,0.0,3.503,2.85646,0.0,2.69462,99.984,100.0,99.984
33,idle,1497.6882410366773,0,3.3954,0.0,3.503,3.3954,0.0,3.503,2.61185,0.0,2.69462,99.983,100.0,99.983
34,idle,1499.043478375592,0,3.7574,0.0,3.503,3.7574,0.0,3.503,2.89031,0.0,2.69462,99.983,100.0,99.983
35,idle,1494.3335639299826,0,3.15,0.0,3.503,3.15,0.0,3.503,2.42308,0.0,2.69462,99.982,100.0,99.982
36,idle,1502.485803720269,0,3.2242,0.0,3.503,3.2242,0.0,3.503,2.48015,0.0,2.69462,99.982,100.0,99.982
37,idle,1503.452426770339,0,3.5427,0.0,3.503,3.5427,0.0,3.503,2.72515,0.0,2.69462,99.981,100.0,99.982
38,idle,1500.7926984553835,0,3.3718,0.0,3.503,3.3718,0.0,3.503,2.59369,0.0,2.69462,99.981,100.0,99.981
39,idle,1498.453267301399,0,3.6877,0.0,3.503,3.6877,0.0,3.503,2.83669,0.0,2.69462,99.98,100.0,99.981
40,idle,1496.6903702946668,0,3.637,0.0,3.503,3.637,0.0,3.503,2.79769,0.0,2.69462,99.98,100.0,99.98
41,idle,1498.0913105300083,0,3.3911,0.0,3.503,3.3911,0.0,3.503,2.60854,0.0,2.69462,99.979,100.0,99.98
42,idle,1502.4348624039278,0,3.15,0.0,3.503,3.15,0.0,3.503,2.42308,0.0,2.69462,99.979,100.0,99.979
43,idle,1500.0624705936384,0,3.3592,0.0,3.503,3.3592,0.0,3.503,2.584,0.0,2.69462,99.979,100.0,99.979
44,idle,1502.2326558801497,0,3.6442,0.0,3.503,3.6442,0.0,3.503,2.80323,0.0,2.69462,99.978,100.0,99.978
45,idle,1499.507572577453,0,3.6996,0.0,3.503,3.6996,0.0,3.503,2.84585,0.0,2.69462,99.978,100.0,99.978
46,idle,1499.601408945468,0,3.373,0.0,3.503,3.373,0.0,3.503,2.59462,0.0,2.69462,99.977,100.0,99.977
47,idle,1492.7644376378846,0,3.15,0.0,3.503,3.15,0.0,3.503,2.42308,0.0,2.69462,99.977,100.0,99.977
48,idle,1495.0137658619926,0,3.15,0.0,3.503,3.15,0.0,3.503,2.42308,0.0,2.69462,99.976,100.0,99.976
49,idle,1495.4726047231998,0,3.6199,0.0,3.503,3.6199,0.0,3.503,2.78454,0.0,2.69462,99.976,100.0,99.976
50,partial,1506.4961414889303,18000000000,5.8866,4.9042,6.0026,5.8866,4.9042,6.0026,4.52815,3.77249,4.61738,99.975,99.999,99.975
51,partial,1503.6875778423355,18000000000,5.8931,4.8768,6.0026,5.8931,4.8768,6.0026,4.53315,3.75139,4.61738,99.974,99.999,99.974
52,partial,1498.972812210662,18000000000,5.7199,4.831,6.0026,5.7199,4.831,6.0026,4.39992,3.71615,4.61738,99.973,99.998,99.973
53,partial,1498.304834620497,18000000000,5.715,4.8245,6.0026,5.715,4.8245,6.0026,4.39615,3.71117,4.61738,99.972,99.997,99.972
54,partial,1491.3633978840382,18000000000,6.2521,4.7576,6.0026,6.2521,4.7576,6.0026,4.80931,3.65973,4.61738,99.972,99.997,99.972
55,partial,1501.1886780116613,18000000000,6.1303,4.8525,6.0026,6.1303,4.8525,6.0026,4.71562,3.73268,4.61738,99.971,99.996,99.971
