step,timestamp,phase,cpu_freq_mhz,cpu_temp_c,ops_executed,avg_total_W,avg_core_W,energy_step_J,drain_A,battery_pct
0,2026-02-18T00:00:00,idle,1494.8000794687975,42.0,0,3.5914,1.6161,3.5914,0.32355,0.0
1,2026-02-18T00:00:01,idle,1504.7028235819562,42.0,0,3.7251,1.6763,3.7251,0.3356,0.0
2,2026-02-18T00:00:02,idle,1493.4891024656883,42.0,0,3.15,1.4175,3.15,0.28378,0.0
3,2026-02-18T00:00:03,idle,1498.418787038282,42.0,0,3.5384,1.5923,3.5384,0.31877,0.0
4,2026-02-18T00:00:04,idle,1495.7347803621321,42.0,0,3.495,1.5727,3.495,0.31486,0.0
5,2026-02-18T00:00:05,idle,1503.8889596771448,42.0,0,3.7638,1.6937,3.7638,0.33908,0.0
6,2026-02-18T00:00:06,idle,1505.6362060348401,42.0,0,3.5198,1.5839,3.5198,0.3171,0.0
7,2026-02-18T00:00:07,idle,1495.7035376855838,42.0,0,3.6403,1.6381,3.6403,0.32795,0.0
8,2026-02-18T00:00:08,idle,1495.205586995855,42.0,0,3.6106,1.6248,3.6106,0.32528,0.0
9,2026-02-18T00:00:09,idle,1499.7503704450687,42.0,0,3.7635,1.6936,3.7635,0.33906,0.0
10,2026-02-18T00:00:10,idle,1496.5953522779803,42.0,0,3.4445,1.55,3.4445,0.31032,0.0
11,2026-02-18T00:00:11,idle,1499.227352589656,42.0,0,3.8668,1.74,3.8668,0.34836,0.0
12,2026-02-18T00:00:12,idle,1498.2393322475589,42.0,0,3.3715,1.5172,3.3715,0.30374,0.0
13,2026-02-18T00:00:13,idle,1501.8272203218205,42.0,0,3.6597,1.6469,3.6597,0.3297,0.0
14,2026-02-18T00:00:14,idle,1502.1541050150395,42.0,0,3.6238,1.6307,3.6238,0.32647,0.0
15,2026-02-18T00:00:15,idle,1497.967924918077,42.0,0,4.1425,1.8641,4.1425,0.3732,0.0
16,2026-02-18T00:00:16,idle,1495.9311363587606,42.0,0,3.3463,1.5058,3.3463,0.30147,0.0
17,2026-02-18T00:00:17,idle,1505.6448614636045,42.0,0,3.6848,1.6582,3.6848,0.33196,0.0
18,2026-02-18T00:00:18,idle,1495.7992176151874,42.0,0,3.4658,1.5596,3.4658,0.31224,0.0
19,2026-02-18T00:00:19,idle,1503.2529639391234,42.0,0,3.2527,1.4637,3.2527,0.29303,0.0
20,2026-02-18T00:00:20,idle,1502.715771341526,42.0,0,3.723,1.6753,3.723,0.3354,0.0
21,2026-02-18T00:00:21,idle,1501.1608066153335,42.0,0,3.3003,1.4852,3.3003,0.29733,0.0
22,2026-02-18T00:00:22,idle,1501.093442983645,42.0,0,3.535,1.5908,3.535,0.31847,0.0
23,2026-02-18T00:00:23,idle,1501.1179777438733,42.0,0,3.7614,1.6926,3.7614,0.33887,0.0
24,2026-02-18T00:00:24,idle,1500.3378953474444,42.0,0,3.7037,1.6667,3.7037,0.33366,0.0
25,2026-02-18T00:00:25,idle,1503.1564411291927,42.0,0,3.5867,1.614,3.5867,0.32313,0.0
26,2026-02-18T00:00:26,idle,1498.4016439182135,42.0,0,3.15,1.4175,3.15,0.28378,0.0
27,2026-02-18T00:00:27,idle,1496.8056107587834,42.0,0,3.3589,1.5115,3.3589,0.3026,0.0
28,2026-02-18T00:00:28,idle,1507.474706556172,42.0,0,3.4175,1.5379,3.4175,0.30788,0.0
29,2026-02-18T00:00:29,idle,1504.8413917729574,42.0,0,3.2403,1.4581,3.2403,0.29191,0.0
30,2026-02-18T00:00:30,idle,1498.3255748500712,42.0,0,3.15,1.4175,3.15,0.28378,0.0
31,2026-02-18T00:00:31,idle,1502.9311116567965,42.0,0,3.5488,1.597,3.5488,0.31971,0.0
32,2026-02-18T00:00:32,idle,1503.9667361759996,42.0,0,3.7134,1.671,3.7134,0.33454,0.0
33,2026-02-18T00:00:33,idle,1497.6882410366773,42.0,0,3.3954,1.5279,3.3954,0.30589,0.0
34,2026-02-18T00:00:34,idle,1499.043478375592,42.0,0,3.7574,1.6908,3.7574,0.3385,0.0
35,2026-02-18T00:00:35,idle,1494.3335639299826,42.0,0,3.15,1.4175,3.15,0.28378,0.0
36,2026-02-18T00:00:36,idle,1502.485803720269,42.0,0,3.2242,1.4509,3.2242,0.29047,0.0
37,2026-02-18T00:00:37,idle,1503.452426770339,42.0,0,3.5427,1.5942,3.5427,0.31916,0.0
38,2026-02-18T00:00:38,idle,1500.7926984553835,42.0,0,3.3718,1.5173,3.3718,0.30377,0.0
39,2026-02-18T00:00:39,idle,1498.453267301399,42.0,0,3.6877,1.6595,3.6877,0.33222,0.0
40,2026-02-18T00:00:40,idle,1496.6903702946668,42.0,0,3.637,1.6367,3.637,0.32766,0.0
41,2026-02-18T00:00:41,idle,1498.0913105300083,42.0,0,3.3911,1.526,3.3911,0.3055,0.0
42,2026-02-18T00:00:42,idle,1502.4348624039278,42.0,0,3.15,1.4175,3.15,0.28378,0.0
43,2026-02-18T00:00:43,idle,1500.0624705936384,42.0,0,3.3592,1.5116,3.3592,0.30263,0.0
